month,chatgpt.com,gemini.google.com,deepseek.com,grok.com,perplexity.ai,claude.ai,meta.ai
2025-01,3849853175,267694244,277912490,1205770,99516948,76762466,8009067
2025-02,3905403554,284137490,614743154,51462811,110434842,73004868,7163718
2025-03,4548614056,343025053,510556960,202650131,123921376,101105053,7581379
2025-04,5141783559,409432013,480115726,196116135,113057060,95631797,11074735
2025-05,5492392083,527738672,436203136,178615350,126783455,99686263,13634061
2025-06,5395125236,648554740,385849616,158337402,129483174,113302600,12945673
2025-07,5720228865,699642673,350480297,201518109,140615519,125168105,11330361
2025-08,5846786290,723383952,319266449,190919493,148235696,148496006,10902051
2025-09,5904115522,1057887865,333000513,176720499,169501187,156996523,11054517
2025-10,6165610531,1182055658,355282656,204306987,218859244,196998867,22678085
2025-11,5844546402,1351749213,345707274,234428108,189015417,180305239,19872867
2025-12,5517989010,1735320959,328865716,271154744,179583644,172690841,21559214
