month,observed_per_period,fitted_per_period,fitted_cumulative
2025-01-01,3849.853175,3753.639797641243,3753.639797641243
2025-02-01,3905.403554,4159.3846792205095,7913.024476861752
2025-03-01,4548.614056,4559.425995937553,12472.450472799304
2025-04-01,5141.783559,4939.089708381403,17411.54018118071
2025-05-01,5492.392083,5282.185925258214,22693.726106438924
2025-06-01,5395.125236,5572.193624103758,28265.919730542682
2025-07-01,5720.228865,5793.752062593612,34059.671793136295
2025-08-01,5846.78629,5934.266107091651,39993.937900227946
2025-09-01,5904.115522,5985.362479228774,45979.30037945672
2025-10-01,6165.610531,5943.922251825548,51923.22263128227
2025-11-01,5844.546402,5812.477966573359,57735.700597855626
2025-12-01,5517.98901,5598.8906675885155,63334.59126544414
2026-01-01,,5315.3758740993,68649.96713954344
2026-02-01,,4977.079350794564,73627.046490338
2026-03-01,,4600.474295559659,78227.52078589766
