term,coef,se,z,p_value,time_ratio
Intercept,4.323678344458404,0.21056635126122036,20.533567298673557,1.0795134753857565e-93,75.46570724974892
age_z,0.41009543671517473,0.0910545499652379,4.503843430907492,6.673538140215028e-06,1.5069615977150237
address_z,0.42883530095995565,0.08976207547177863,4.777466415588645,1.7751768745623826e-06,1.5354681234448755
income_z,0.14936873387780858,0.09845598757302255,1.5171117324583758,0.12923847656734164,1.1611010475762251
region_Zone 2,-0.09702844475654798,0.14276872833978999,-0.6796197310493653,0.4967452729405183,0.9075301912907747
region_Zone 3,0.04823786750119469,0.14153662052350635,0.34081545343371655,0.733242516075526,1.049420248610468
marital_Unmarried,-0.45515132058363245,0.11542968445939007,-3.9431046070628533,8.043355036984964e-05,0.6343519701748366
ed_Did not complete high school,0.3736440854868361,0.20158756013322493,1.8535076531503365,0.06380963023380266,1.4530199075421721
ed_High school degree,0.31592747790284925,0.1631828437114477,1.9360336584248783,0.05286357874944749,1.3715307857303156
ed_Post-undergraduate degree,-0.034326818835685995,0.22317214718043354,-0.15381318533415791,0.8777570371665689,0.9662556624781484
ed_Some college,0.27231053114803233,0.16534621795618434,1.6469111571707846,0.09957630826768167,1.3129946637521848
retire_Yes,0.022432889085190134,0.4440428276793225,0.050519651904817275,0.959708289443753,1.0226863984416057
gender_Male,0.05186895994121297,0.11428737016202417,0.45384682373633073,0.6499390794633952,1.0532377171377652
voice_Yes,-0.43377526423713064,0.16895277487606178,-2.5674349803093435,0.010245400149840574,0.6480578809033662
internet_Yes,-0.7715040597794224,0.14348273532926412,-5.376981822997556,7.574481708276625e-08,0.4623171924284815
forward_Yes,-0.19813528010464368,0.18003669725471647,-1.1005271876561993,0.27110249053497304,0.8202588809245875
custcat_E-service,1.066410697293803,0.1705316487496888,6.253447410568996,4.014898006951048e-10,2.9049340775537345
custcat_Plus service,0.9249405235682362,0.21575099646832255,4.2870741674838095,1.8104186052166025e-05,2.5217182730930414
custcat_Total service,1.198590739441774,0.2504509148995543,4.785731127883802,1.7036600347780677e-06,3.3154413082619887
log_sigma,0.2757711362447665,0.04599854709372758,5.99521405932343,2.0321757602645986e-09,1.317546290927208
