ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,event,survival_12m,churn_risk_12m,CLV_12m_AMD,at_risk_12m,survival_m1,survival_m2,survival_m3,survival_m4,survival_m5,survival_m6,survival_m7,survival_m8,survival_m9,survival_m10,survival_m11,survival_m12
1,Zone 2,13,44,Married,9,64,College degree,No,Male,No,No,Yes,Basic service,Yes,1,0.9393095329008498,0.06069046709915016,14540.70308798673,False,0.9996884776555756,0.9981287801308457,0.9952508118634272,0.9912683873511948,0.9864011436531874,0.9808341128044266,0.9747165369537386,0.9681676689566148,0.9612829067857774,0.9541389201141387,0.9467976744936843,0.9393095329008498
2,Zone 3,11,33,Married,7,136,Post-undergraduate degree,No,Male,Yes,No,Yes,Total service,Yes,1,0.9444741109017264,0.055525889098273606,14575.300887796904,False,0.9997357298706079,0.9983777640095015,0.995830851918122,0.9922671718799657,0.9878751094402077,0.9828177883886007,0.9772291803752602,0.9712178380226153,0.9648716192109845,0.9582618658475445,0.9514467855004267,0.9444741109017264
3,Zone 3,68,52,Married,24,116,Did not complete high school,No,Female,No,No,No,Plus service,No,0,0.9979784714387959,0.002021528561204078,14900.516260307124,False,0.9999989685273397,0.9999880461842766,0.9999556067951545,0.9998932936451345,0.9997956859282056,0.999659440574266,0.9994826475511132,0.9992643876228575,0.9990044308286201,0.998703028634267,0.9983607686101245,0.9979784714387959
4,Zone 2,33,33,Unmarried,12,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,0.8421916822731271,0.15780831772687287,13826.115803581824,False,0.9979854979934007,0.9907035956778306,0.9797238333918554,0.9664728557304971,0.9518609401284227,0.9364691975184425,0.9206769707580458,0.90473689167528,0.8888195965771672,0.8730412100617684,0.857480783754033,0.8421916822731271
5,Zone 2,23,30,Married,9,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0.9624860982520551,0.03751390174794489,14692.498823011216,False,0.9998702361403793,0.9991271102816142,0.997634982383409,0.9954476559617912,0.9926555454017195,0.9893487658475096,0.9856078415610967,0.981502173954565,0.9770908083996481,0.9724237890542782,0.9675435399559368,0.9624860982520551
6,Zone 2,41,39,Unmarried,17,78,High school degree,No,Female,No,No,No,Plus service,No,0,0.9744780507775948,0.02552194922240525,14767.054776069042,False,0.999934211006176,0.999518639157699,0.9986308429380606,0.9972729536163243,0.9954831436264843,0.9933082218343435,0.9907944290528558,0.9879843428817441,0.9849160452189092,0.9816231588086866,0.9781352041349599,0.9744780507775948
7,Zone 3,45,22,Married,2,19,High school degree,No,Female,No,Yes,No,E-service,Yes,1,0.802965239845884,0.19703476015411603,13508.053577460001,False,0.9967813805418798,0.9861797079215177,0.9710749721428735,0.9535275856244815,0.9347236117394302,0.9153639539552714,0.8958753559204742,0.8765227218416254,0.8574716470071351,0.8388248676770544,0.8206443681334596,0.802965239845884
8,Zone 2,38,35,Unmarried,5,76,High school degree,No,Male,Yes,Yes,Yes,Total service,No,0,0.7304021755914287,0.2695978244085713,12879.23084426706,True,0.993547956246771,0.9752418779169721,0.9514019622474665,0.9253253187100944,0.8986142226543062,0.8720877789349771,0.8461744917466927,0.8210953600552378,0.7969561354995014,0.7737967136771691,0.7516188343899084,0.7304021755914287
9,Zone 3,45,59,Married,7,166,College degree,No,Male,No,No,Yes,Plus service,No,0,0.994140113955496,0.005859886044504048,14880.588247346725,False,0.9999944062103565,0.9999457074467828,0.9998181020499407,0.9995934188955778,0.9992639719661657,0.9988278941745284,0.9982865812415478,0.997643257557043,0.9969021442848768,0.9960679638993382,0.9951456399730758,0.994140113955496
10,Zone 1,68,41,Married,21,72,Did not complete high school,No,Male,No,No,No,E-service,No,0,0.9956793060088742,0.004320693991125779,14888.739306150088,False,0.9999965750586632,0.9999649600800227,0.9998789602695691,0.9997235532356401,0.9994911549716953,0.9991786342930848,0.9987855390960316,0.9983130415084952,0.9977632943058571,0.9971390284251366,0.9964432963059507,0.9956793060088742
