segment,level,n,observed_churn_rate,mean_CLV_12m_AMD,median_CLV_12m_AMD,mean_survival_12m,mean_churn_risk_12m,at_risk_count
custcat,Basic service,266,0.31203007518796994,13436.203665796387,13769.011584660417,0.8098276603306457,0.19017233966935435,78
custcat,E-service,217,0.271889400921659,14447.797278514026,14678.521072989268,0.9316026615303376,0.06839733846966241,6
custcat,Plus service,281,0.15658362989323843,14608.91411577589,14777.004286725369,0.953524457635178,0.04647554236482193,4
custcat,Total service,236,0.3728813559322034,13918.76398016091,14243.650372386006,0.8640783263934498,0.13592167360655016,47
internet,No,632,0.1819620253164557,14438.125741126782,14712.34857748883,0.9310201355635962,0.06897986443640383,31
internet,Yes,368,0.4320652173913043,13516.956201082217,13936.644503640662,0.8180164868157105,0.18198351318428962,104
marital,Married,495,0.25656565656565655,14347.201458385904,14656.723957684097,0.9193139571046219,0.08068604289537805,36
marital,Unmarried,505,0.29108910891089107,13855.98144255319,14300.11489511502,0.8601472951635373,0.13985270483646273,99
gender,Female,517,0.2765957446808511,14102.26826152759,14473.013686553453,0.889150199123579,0.11084980087642106,69
gender,Male,483,0.2712215320910973,14095.781903065463,14531.454880470901,0.8897394200361984,0.11026057996380147,66
region,Zone 1,322,0.2795031055900621,14110.016742312095,14490.436057181383,0.8906242581957564,0.10937574180424359,48
region,Zone 2,334,0.281437125748503,14157.106517390697,14550.883327041713,0.8964525929708185,0.10354740702918148,32
region,Zone 3,344,0.2616279069767442,14032.663902783122,14476.163383069554,0.8815076035845559,0.11849239641544403,55
voice,No,696,0.22701149425287356,14231.47582591297,14607.290028950447,0.905590862204579,0.09440913779542111,71
voice,Yes,304,0.3815789473684211,13796.14531432551,14212.875284142754,0.852445897138116,0.14755410286188392,64
ed,College degree,234,0.39316239316239315,13873.902585292597,14243.522634975598,0.8600913627071399,0.1399086372928601,43
ed,Did not complete high school,204,0.1568627450980392,14443.353414443223,14759.449677410283,0.9329695141569891,0.06703048584301097,11
ed,High school degree,287,0.21951219512195122,14160.947793482392,14640.29979517917,0.8982179373135887,0.10178206268641124,36
ed,Post-undergraduate degree,66,0.42424242424242425,13847.791296963072,14289.609484893026,0.857239904468451,0.142760095531549,12
ed,Some college,209,0.2822966507177033,14009.817256251135,14428.028222085195,0.87790072420555,0.12209927579444996,33
retire,No,953,0.28436516264428124,14061.974596565595,14473.306817984703,0.8844840825645253,0.1155159174354747,135
retire,Yes,47,0.06382978723404255,14852.628933263197,14897.69539308321,0.9898183434123742,0.010181656587625808,0
